# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
proc,module,kind,sp_offset,type,name
File::GetAttribute,winfile.obj,param,sp+0x18,T_32PRCHAR(0470),sFilename
File::Open,winfile.obj,param,sp+0x20,0x10CB,this
File::Open,winfile.obj,param,sp+0x24,0x1001,sFilename
File::Open,winfile.obj,param,sp+0x28,0x10C2,mode
File::Write,winfile.obj,param,sp+0x1c,0x10CB,this
File::Write,winfile.obj,param,sp+0x20,T_32PVOID(0403),pData
File::Write,winfile.obj,param,sp+0x24,T_ULONG(0022),dBytes
File::Write,winfile.obj,local,sp+0x14,T_ULONG(0022),dBytesWritten
File::Read,winfile.obj,param,sp+0x1c,0x10CB,this
File::Read,winfile.obj,param,sp+0x20,T_32PVOID(0403),pData
File::Read,winfile.obj,param,sp+0x24,T_ULONG(0022),dBytes
File::Read,winfile.obj,local,sp+0x14,T_ULONG(0022),dBytesRead
File::SeekEnd,winfile.obj,param,sp+0x14,0x10CB,this
File::SeekBegin,winfile.obj,param,sp+0x14,0x10CB,this
File::SeekCur,winfile.obj,param,sp+0x14,0x10CB,this
File::SeekCur,winfile.obj,param,sp+0x18,T_INT4(0074),seekAmt
File::Seek,winfile.obj,param,sp+0x1c,0x10CB,this
File::Seek,winfile.obj,param,sp+0x20,T_ULONG(0022),dBytesToSeek
File::Seek,winfile.obj,param,sp+0x24,T_ULONG(0022),dStart
File::GetPosition,winfile.obj,param,sp+0x14,0x10CB,this
File::GetLength,winfile.obj,param,sp+0x20,0x10CB,this
CFindFile::CFindFile,winfile.obj,param,sp+0x18,0x10E7,this
CFindFile::~CFindFile,winfile.obj,param,sp+0x14,0x10E7,this
CFindFile::FindFile,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::FindFile,winfile.obj,param,sp+0x4,0x1001,sFile
CFindFile::FindNext,winfile.obj,param,sp+0x14,0x10E7,this
CFindFile::Close,winfile.obj,param,sp+0x18,0x10E7,this
CFindFile::GetLength,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::GetFilename,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::IsReadOnly,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::IsSystem,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::IsNormal,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::IsDots,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::IsDirectory,winfile.obj,param,sp+0x14,0x10E7,this
CFindFile::IsHidden,winfile.obj,param,sp+0x0,0x10E7,this
CFindFile::IsArchived,winfile.obj,param,sp+0x0,0x10E7,this
File::Init,winfile.obj,param,sp+0x0,0x10CB,this
heroWindow::heroWindow,window.obj,param,sp+0x30,0x1708,this
heroWindow::heroWindow,window.obj,param,sp+0x34,T_INT4(0074),winX
heroWindow::heroWindow,window.obj,param,sp+0x38,T_INT4(0074),winY
heroWindow::heroWindow,window.obj,param,sp+0x3c,T_INT4(0074),winWidth
heroWindow::heroWindow,window.obj,param,sp+0x40,T_INT4(0074),winHeight
