# Dreamcast CodeView corpus - DC offsets, reference evidence (see README.md).
class,offset,type,name
CObjectType,40,"std::bitset<48,unsigned",TriggerMask
CObjectType,48,TAdventureObjectType,Type
CObjectType,52,T_INT4(0074),Extra
CObjectType,56,T_UCHAR(0020),IsUnderlay
CPingMsg,20,T_ULONG(0022),m_pingTime
CPingResponseMsg,20,T_ULONG(0022),m_pingTime
CPlayerDeadMsg,20,T_INT4(0074),m_deadGuy
CPlayerDropMsg,20,T_ULONG(0022),m_dpid
CPlayerDropUpdateMsg,20,T_ULONG(0022),m_dpidDropped
CPlayerLostMsg,20,T_INT4(0074),m_loser
CPlayerLostMsg,24,LossConditionStruct,m_lossConditionStruct
CPlayerWonMsg,20,T_INT4(0074),m_winner
CPlayerWonMsg,24,VictoryConditionStruct,m_victoryConditionStruct
CRITICAL_SECTION,0,T_UINT4(0075),LockCount
CRITICAL_SECTION,4,T_32PVOID(0403),OwnerThread
CRITICAL_SECTION,8,T_32PVOID(0403),hCrit
CRITICAL_SECTION,12,T_ULONG(0022),needtrap
CRITICAL_SECTION,16,T_ULONG(0022),dwReserved
CRequestHeroFaceMsg,20,T_INT4(0074),m_which
CRequestHeroFaceReplyMsg,20,T_INT4(0074),m_pos
CRequestHeroFaceReplyMsg,24,T_INT4(0074),m_heroFace
CResetVisibilityMsg,20,type_point,m_point
CResetVisibilityMsg,24,T_INT4(0074),m_playerPos
CResetVisibilityMsg,28,T_INT4(0074),m_range
CSaveScreen,184,T_UCHAR(0020),screenSaved
CSaveScreen,188,T_INT4(0074),m_x
CSaveScreen,192,T_INT4(0074),m_y
CScenarioInfoDlg,88,0x1A63,VictoryIcon
CScenarioInfoDlg,92,0x1A63,LossIcon
CScenarioInfoDlg,96,0x1A63,TownPix
CScenarioInfoDlg,100,0x1A63,bonusSprite
CScenarioInfoDlg,104,0x4461,Panels
CScenarioInfoDlg,136,0x4461,Flags
CScenarioInfoDlg,168,0x1A63,heroSpecificAbility
CScrollMsg,20,T_INT4(0074),m_currentMap
CScrollMsg,24,T_INT4(0074),m_currentIndex
CSequence,0,T_INT4(0074),numFrames
CSequence,4,T_INT4(0074),allocatedFrames
CSequence,8,0x17A3,f
CSetAGRMsg,20,T_INT4(0074),m_gamePos
CSetAGRMsg,24,T_INT4(0074),m_agr
CSetFilterMsg,20,T_INT4(0074),m_filterSize
CSetVisibilityMsg,20,type_point,m_point
CSetVisibilityMsg,24,T_INT4(0074),m_playerPos
CSetVisibilityMsg,28,T_INT4(0074),m_range
CSortMapsMsg,20,T_INT4(0074),m_how
CSortMapsMsg,24,T_INT4(0074),m_direction
CSprite,28,T_RCHAR(0070),SpecialCacheFlag
CSprite,32,T_32PINT4(0474),Sp_loaded
CSprite,36,0x17D0,p
CSprite,40,0x17D1,p24
CSprite,44,0x17D2,s
CSprite,48,T_INT4(0074),numSequences
CSprite,52,T_32PINT4(0474),validSeqMask
CSprite,56,T_INT4(0074),Width
CSprite,60,T_INT4(0074),Height
